0.6578	0.7404	0.6432	0.7191	0.6079	0.8083	0.6464	0.7154
0.5685	0.6511	0.5539	0.6298	0.5187	0.6250	0.8811	0.6262
0.5085	0.5911	0.4939	0.9654	0.4587	0.5553	0.7247	0.9331
0.8606	0.5911	0.4939	0.0000	0.4587	0.5553	0.6294	0.8420
0.7865	0.5911	0.8719	0.7694	0.0000	0.5553	0.5549	0.7234
0.7267	0.6412	0.8258	0.7411	0.8923	0.6054	0.5472	0.6783
1.0374	1.3987	1.1002	1.0317	1.2095	0.9894	0.9312	1.0003
0.9489	1.3071	1.0271	1.0102	1.0918	1.3817	0.9374	1.0065
0.8285	1.0702	0.8139	0.8898	0.8945	1.1475	0.0000	0.8862
0.7528	0.9160	0.7381	0.8141	0.7245	0.9933	0.7413	0.8104
0.6459	0.7285	0.6312	0.7072	0.5960	0.7706	0.6344	0.7035
0.5655	0.6481	0.5508	0.6268	0.5156	0.6122	0.8976	0.6231
0.5085	0.5911	0.4939	0.5698	0.4587	0.5553	0.7445	0.9362
0.8599	0.5911	0.4939	0.8873	0.4587	0.5553	0.6489	0.8268
0.7937	0.5911	0.8548	0.7875	0.4587	0.5553	0.5334	0.7431
0.7273	0.6406	0.8279	0.7263	0.5082	0.6048	0.0000	0.7043
0.9477	1.3271	1.0314	0.9484	1.1211	0.9254	0.8672	0.9363
0.9434	1.3018	1.0220	1.0048	1.0875	1.3587	0.0000	0.0000
0.8492	1.0957	0.8345	0.9105	0.9151	1.1845	0.8377	0.9068
0.7345	0.8774	0.7199	0.7959	0.7072	0.9759	0.7231	0.7922
0.6606	0.7432	0.6459	0.7219	0.6107	0.8053	0.6491	0.7182
0.5085	0.5911	0.4939	0.5698	0.4587	0.5573	0.8222	0.5662
0.5085	0.5911	0.4939	0.5698	0.4587	0.5553	0.7459	0.9136
0.8802	0.5911	0.4939	0.8830	0.4587	0.5553	0.6295	0.8377
0.7902	0.5911	0.8755	0.7908	0.4587	0.5553	0.5564	0.7493
0.7648	0.6640	0.8544	0.7643	0.5315	0.0000	0.5699	0.7206
0.9475	1.3269	1.0499	0.9497	1.1208	0.9252	0.8670	0.9361
0.9469	1.3035	1.0247	1.0082	1.1080	1.3765	0.9354	1.0045
0.7485	0.9895	0.7339	0.8098	0.8145	1.0829	0.7371	0.8062
0.7539	0.9183	0.7392	0.8152	0.7040	0.9956	0.7424	0.8115
0.6623	0.7449	0.6477	0.7237	0.6125	0.8129	0.6509	0.7200
0.5481	0.6307	0.5334	0.6094	0.4982	0.5948	0.8589	0.6057
0.5085	0.0000	0.4939	0.5698	0.4587	0.5553	0.7441	0.9359
0.8643	0.5911	0.4939	0.0000	0.4587	0.5553	0.6329	0.8420
0.7885	0.0000	0.8707	0.7896	0.4587	0.5553	0.5358	0.7491
0.7482	0.6423	0.8129	0.7241	0.8992	0.6064	0.5482	0.6810
0.9492	1.3346	1.0395	0.9498	1.1236	0.9278	0.8696	0.9387
0.9446	1.3030	1.0067	1.0059	1.1106	1.3749	0.9332	1.0023
0.8492	1.0908	0.8345	0.9105	0.9151	1.1660	0.8377	0.9068
0.7362	0.9043	0.7215	0.7975	0.6863	0.9570	0.7247	0.7938
0.6453	0.7279	0.6306	0.7066	0.5954	0.7710	0.6338	0.7029
0.5491	0.6317	0.5344	0.6104	0.4992	0.6009	0.8805	0.6067
0.5085	0.5911	0.4939	0.9568	0.4587	0.5553	0.7270	0.9130
0.8843	0.5911	0.4939	0.8862	0.4587	0.5553	0.6291	0.8415
0.7859	0.5911	0.8755	0.7730	0.4587	0.5553	0.5537	0.7303
0.7602	0.6572	0.8437	0.7638	0.5247	0.6213	0.5631	0.7184
1.0121	1.3721	1.0996	1.0092	1.1844	0.9886	0.9304	0.9995
0.9450	1.2786	1.0218	1.0063	1.1067	1.3826	0.9335	1.0026
